track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_name,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
I Ran (So Far Away) - Re-Recorded,A Flock Of Seagulls,13,This Is '80s New Wave 2.0,2006-09-19,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",pop,electropop,0.559,0.719,2,-9.712,1,0.0347,0.0169,0.078,0.0824,0.602,146.992,302258
Your Car,Alexx Mack,17,Your Car,2017-11-10,Indie Poptimism,pop,indie poptimism,0.559,0.642,9,-9.127,1,0.103,0.0251,2.91E-06,0.266,0.203,100.083,226000
Not over Yet - Perfecto Edit,Grace,20,Digging In The Crates: 1997 Vol. 1,2007-01-30,90s Dance Hits,pop,dance pop,0.559,0.829,6,-8.149,0,0.0407,0.00496,0.00597,0.05,0.463,130.532,458058
What a Feeling,Toni Lo,29,Best Songs of 80's Disco Music. Las Mejores Canciones De La Mşsica Disco De Los Aħos 80,2013-12-20,80's Songs | Top Ż 80s Music Hits,pop,electropop,0.559,0.688,7,-3.272,0,0.033,0.294,5.84E-06,0.275,0.34,129.716,221147
House On Fire,Ryan Cabrera,30,House On Fire,2014-10-22,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,pop,indie poptimism,0.559,0.832,2,-4.736,1,0.0328,0.000441,0,0.355,0.416,128.015,214496
Low Tide,XY&O,38,Low Tide,2015-05-28,"Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)",pop,indie poptimism,0.559,0.799,9,-5.807,0,0.0455,0.000397,0.00958,0.0609,0.367,116.975,202532
Don't Come Close,Yeasayer,46,"The Music of Grand Theft Auto V, Vol. 1: Original Music",2013-09-24,GTA V - Radio Mirror Park,pop,electropop,0.559,0.64,11,-7.022,0,0.124,0.16,8.48E-06,0.108,0.387,82.488,208747
Can't Be Alone Tonight,Atlas Genius,46,Can't Be Alone Tonight,2019-01-18,Indie Poptimism,pop,indie poptimism,0.559,0.833,6,-4.332,1,0.0895,0.044,0,0.349,0.443,99.991,237027
Somebody To You,The Vamps,64,Meet The Vamps,2014-11-04,¤İ¤ŞPost Teen Pop¤Ş¤İ,pop,post-teen pop,0.559,0.849,3,-4.676,1,0.0454,0.0854,0,0.328,0.759,86.978,182827
Burn,Ellie Goulding,65,Halcyon Days,2013-01-01,"post-teen alternative, indie, pop (large variety)",pop,post-teen pop,0.559,0.777,1,-5.031,1,0.0432,0.31,0,0.105,0.329,87.016,231212
Burn,Ellie Goulding,70,Halcyon Days,2014-01-01,post teen pop,pop,post-teen pop,0.559,0.777,1,-5.031,1,0.0432,0.31,0,0.105,0.329,87.016,231212
Burn,Ellie Goulding,70,Halcyon Days,2014-01-01,ELECTROPOP,pop,electropop,0.559,0.777,1,-5.031,1,0.0432,0.31,0,0.105,0.329,87.016,231212
Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",74,Flower Boy,2017-07-21,indie poptimism,pop,indie poptimism,0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,320720
That Girl,All Time Low,0,Dirty Work,2011-01-01,Pop Punk | Post-Hardcore,pop,post-teen pop,0.56,0.94,10,-3.113,1,0.0417,0.0218,0,0.295,0.896,91.966,191960
Suburbia,Muskoka,1,Suburbia,2016-08-29,indie poptimism,pop,indie poptimism,0.56,0.342,9,-11.07,1,0.0326,0.864,0.00164,0.0964,0.293,153.655,312287
Pour Some Sugar on Me,Ken Clayton,16,80's Hard Rock Music Top Hits. The Greatest Best Songs 1980's,2014-03-20,80's Songs | Top Ż 80s Music Hits,pop,electropop,0.56,0.809,1,-7.447,0,0.0714,0.307,0,0.146,0.603,90.014,256833
Calling All the Monsters,China Anne McClain,47,Calling All The Monsters,2011-01-01,Post teen pop,pop,post-teen pop,0.56,0.826,6,-5.866,0,0.0976,0.00272,0,0.487,0.492,141.974,206676
Girlfriend,Avril Lavigne,72,The Best Damn Thing (Expanded Edition),2007-04-17,post teen pop,pop,post-teen pop,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,216600
A Thousand Miles,Vanessa Carlton,76,Be Not Nobody,2002-04-30,post teen pop,pop,post-teen pop,0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,237493
Tongue Tied,Grouplove,78,Never Trust A Happy Song,2011-09-02,Indie Poptimism,pop,indie poptimism,0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,218013
The Scientist,Coldplay,83,A Rush of Blood to the Head,2002-08-08,Mix ElectroPop//ElectroHouse// DeepHouse 2020,pop,electropop,0.56,0.442,5,-7.224,1,0.0243,0.727,1.71E-05,0.11,0.212,146.448,309600
Eastside (with Halsey & Khalid),benny blanco,84,Eastside (with Halsey & Khalid),2018-07-12,Electropop 2019,pop,electropop,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800
Gonna Make You Sweat (Everybody Dance Now),C & C Music Factory,2,100 Hits of the '90s,2010-02-26,90s Dance Hits,pop,dance pop,0.561,0.789,6,-9.134,1,0.0952,0.00217,0.446,0.194,0.796,112.815,243800
Mercy,Shawn Mendes,9,Illuminate (Deluxe),2017-04-20,Electropop - Pop,pop,electropop,0.561,0.674,4,-4.882,0,0.0818,0.118,0,0.111,0.383,148.127,208733
Thought We Were in Love,CALI JEWLS,24,Thought We Were in Love,2019-09-06,a taste of the mainstream,pop,post-teen pop,0.561,0.631,11,-8.898,0,0.0713,0.145,0.000666,0.117,0.223,195.952,193469
Nobody,Beverly,31,INFINITY,2019-12-04,Dance Pop: Japan,pop,dance pop,0.561,0.929,11,-1.687,1,0.0288,0.182,0.000776,0.245,0.898,190.05,213147
Y crois-tu,Fishbach,31,A ta merci,2017-01-27,Music&Other Drugs,pop,indie poptimism,0.561,0.64,4,-6.297,0,0.0244,0.127,0,0.163,0.288,97.95,239093
Horizonte de las Estrellas,Miguel Bosİ,34,Bandido,1984-02-22,ELECTROPOP EN ESPAOL,pop,electropop,0.561,0.668,7,-10.302,0,0.0304,0.00102,0.329,0.196,0.431,161.225,249373
Night Drive,Rubayne,38,Night Drive,2019-11-15,Pop Dance Hits,pop,dance pop,0.561,0.903,5,-4.514,1,0.0963,0.0419,2.99E-06,0.394,0.222,105.057,178286
Always The Sun - Sunny Side Up Mix,The Stranglers,50,10,1990-03-14,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",pop,electropop,0.561,0.868,2,-4.146,1,0.0464,0.00585,0.0275,0.105,0.795,133.362,243053
We Come Running,Youngblood Hawke,51,Youngblood Hawke,2012-01-01,The Sound of Indie Poptimism,pop,indie poptimism,0.561,0.736,10,-7.014,1,0.041,0.000287,0.00303,0.118,0.31,124.983,248600
Faded,John De Sohn,54,Made For You,2019-11-29,Pop / Dance,pop,dance pop,0.561,0.859,4,-7.556,1,0.0515,0.0145,0.000933,0.065,0.554,150.03,158453
Inside the Lines,Mike Perry,55,Inside the Lines,2016-10-21,A Loose Definition of Indie Poptimism,pop,indie poptimism,0.561,0.8,8,-4.576,1,0.0324,0.0709,0.000133,0.0934,0.399,96.989,204504
Carillon (with Achille Lauro),Nahaze,64,Carillon (with Achille Lauro),2019-12-11,Dance Room,pop,dance pop,0.561,0.562,9,-11.431,0,0.15,0.062,0,0.118,0.244,151.631,242385
+,Aitana,81,+,2019-12-17,Todo xitos,pop,dance pop,0.561,0.666,8,-4.243,1,0.0322,0.106,0,0.123,0.675,160.019,219367
Electricity,Orchestral Manoeuvres In The Dark,8,The OMD Singles,1998-01-01,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",pop,electropop,0.562,0.739,9,-9.433,0,0.0291,0.000944,0.128,0.318,0.655,81.329,212293
Moving On,Quentyn,32,Moving On (feat. Robin Vane),2017-06-30,Electro Pop | Electropop,pop,electropop,0.562,0.799,1,-5.263,1,0.0421,0.0444,0.00257,0.334,0.225,116.978,221538
Feel It,Romance and Rebellion,33,Feel It,2019-11-08,"Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)",pop,indie poptimism,0.562,0.717,4,-8.215,1,0.0289,0.0322,8.98E-05,0.103,0.274,136.949,232414
Innocence,Quentyn,38,Innocence (feat. Zay),2019-03-08,Electro Pop | Electropop,pop,electropop,0.562,0.702,5,-6.09,0,0.042,0.0477,4.58E-05,0.322,0.331,102.043,182951
HONEY,RIRI,42,HONEY,2018-10-31,Best of 2019 Dance Pop: Japan,pop,dance pop,0.562,0.748,2,-3.359,0,0.0428,0.0575,0,0.2,0.492,100.032,186703
Party City,Charlotte Rose Benjamin,42,Party City,2020-01-08,The Edge of Indie Poptimism,pop,indie poptimism,0.562,0.693,0,-8.183,1,0.0383,0.427,0,0.142,0.678,144.971,204414
Truth Or Dare,Emily Osment,44,Fight Or Flight (Bonus Track Version),2010-01-01,The Sound of Post-Teen Pop,pop,post-teen pop,0.562,0.747,0,-5.354,0,0.0345,3.79E-05,0,0.0858,0.703,137.008,182480
Good Morning,Grouplove,53,Big Mess,2017-08-17,Indie Poptimism,pop,indie poptimism,0.562,0.832,2,-5.26,1,0.0499,0.000938,2.83E-06,0.063,0.685,104.042,219560
I'm Into You,Nick Murphy / Chet Faker,55,Thinking In Textures,2012-03-23,Indie/Jazz Poptimism,pop,indie poptimism,0.562,0.68,2,-6.966,0,0.437,0.668,2.88E-06,0.255,0.499,169.28,263693
Bob Marley,Grizfolk,56,Waking Up The Giants,2015-12-04,The Sound of Indie Poptimism,pop,indie poptimism,0.562,0.695,6,-4.662,1,0.0332,0.0151,0.119,0.122,0.446,118.174,216067
There Will Be Blood,Kim Petras,60,TURN OFF THE LIGHT,2019-10-01,a taste of the mainstream,pop,post-teen pop,0.562,0.879,0,-4.733,0,0.0905,0.00119,1.81E-05,0.167,0.602,107.026,197652
The Phoenix,Fall Out Boy,62,Save Rock And Roll,2013-01-01,Dr. Q's Prescription Playlist,pop,post-teen pop,0.562,0.964,4,-2.991,0,0.072,0.000539,1.57E-06,0.579,0.41,138.063,244960
Supercut,Lorde,62,Melodrama,2017-11-10,indie poptimism,pop,indie poptimism,0.562,0.437,0,-10.229,1,0.052,0.219,2.18E-05,0.0806,0.15,124.852,277506
"Determinate - From ""Lemonade Mouth""",Adam Hicks,64,Lemonade Mouth,2011-01-01,Post teen pop,pop,post-teen pop,0.562,0.768,1,-5.006,0,0.0488,0.00361,0,0.0742,0.218,139.968,198107
Heads Will Roll,Yeah Yeah Yeahs,66,It's Blitz!,2009-01-01,BALLARE - ĜħÙĜµ,pop,post-teen pop,0.562,0.903,8,-4.46,0,0.0296,0.000187,0.0939,0.298,0.791,132.009,221000
Stronger (What Doesn't Kill You),Kelly Clarkson,73,Stronger (Deluxe Version),2011-10-24,The Sound of Post-Teen Pop,pop,post-teen pop,0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,221947
All in Line,Firewoodisland,11,Dome,2016-04-22,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,pop,indie poptimism,0.563,0.406,11,-10.958,0,0.0344,0.431,0.00711,0.26,0.152,89.023,187973
Tengo De Ti,Morbo,16,Morbo,2001-01-01,ELECTROPOP EN ESPAOL,pop,electropop,0.563,0.986,11,-7.67,0,0.0542,0.217,0.579,0.381,0.435,130.014,212693
Yourself,IIWII,31,Yourself,2019-10-04,Pop Dance Hits,pop,dance pop,0.563,0.783,2,-6.023,0,0.075,0.193,0,0.323,0.281,124.023,154839
American Pie,The Deep Dixie Boys,35,Only a Country Heart,2015-07-23,Dr. Q's Prescription Playlist,pop,post-teen pop,0.563,0.505,4,-7.002,0,0.0578,0.713,0,0.32,0.448,138.022,276079
MIROH,Stray Kids,45,Clİ 1 : MIROH,2019-03-26,Best of 2019 Dance Pop: Japan,pop,dance pop,0.563,0.979,9,-3.104,1,0.104,0.00911,0,0.249,0.503,126.063,207617
Another Love - Dimitri Vangelis & Wyman Remix,Tom Odell,45,Another Love (Dimitri Vangelis & Wyman Remix),2014-09-23,Chillout & Remixes ,pop,indie poptimism,0.563,0.863,4,-3.958,0,0.0666,0.0724,2.78E-05,0.373,0.336,127.968,204413
Don't Wanna Be Your Girl,Wet,46,Don't You,2016-01-29,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.563,0.182,0,-14.931,1,0.039,0.78,0.0222,0.134,0.115,129.937,197280
Territory,The Blaze,64,Territory,2017-04-07,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.563,0.44,9,-11.943,0,0.0822,0.286,0.683,0.269,0.213,120.009,276373
Good Things Fall Apart (with Jon Bellion) [TiĞsto's Big Room Remix],ILLENIUM,67,Good Things Fall Apart (with Jon Bellion) [TiĞsto's Big Room Remix],2019-07-12,Pop Remix,pop,dance pop,0.563,0.81,2,-2.921,1,0.0522,0.00522,0,0.0846,0.495,129.975,247385
Me Equivocarİ,Antonio Josİ,69,Me Equivocarİ,2019-09-26,Todo xitos,pop,dance pop,0.563,0.729,2,-4.178,1,0.16,0.0623,0,0.0378,0.726,80.51,152722
The Beat,Mike Williams,70,The Beat,2018-07-23,Pop Warmup 130 BPM,pop,dance pop,0.563,0.954,7,-1.835,0,0.0283,0.119,0.168,0.27,0.788,128.014,162187
MIROH,Stray Kids,71,Clİ 1 : MIROH,2019-03-25,K-Party Dance Mix,pop,dance pop,0.563,0.979,9,-3.104,1,0.104,0.00911,0,0.249,0.503,126.063,207617
Don't Stop Me Now - 2011 Mix,Queen,75,Jazz (Deluxe Remastered Version),1978-11-10,Dr. Q's Prescription Playlist,pop,post-teen pop,0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,209413
Look At Her Now,Selena Gomez,86,Look At Her Now,2019-10-24,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596
Look At Her Now,Selena Gomez,86,Look At Her Now,2019-10-24,indie poptimismşğ,pop,indie poptimism,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596
Time - Yelhigh Remix,Yelhigh,1,Time Remixes,2014-03-03,Chillout & Remixes ,pop,indie poptimism,0.564,0.842,7,-4.65,1,0.0445,0.000176,0.0308,0.344,0.205,145.99,271241
Atemlos,[:SITD:],3,Icon:Koru,2011-11-18,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,pop,electropop,0.564,0.904,9,-6.221,1,0.0366,0.0077,4.64E-06,0.112,0.295,114.985,397093
Never Be Like You (feat. Kai),Flume,3,Skin,2016-05-27,A Loose Definition of Indie Poptimism,pop,indie poptimism,0.564,0.552,0,-5.438,1,0.055,0.439,0,0.163,0.26,119.907,233337
All Night,The Vamps,4,All Night,2016-10-14,A Loose Definition of Indie Poptimism,pop,indie poptimism,0.564,0.768,8,-6.431,1,0.0342,0.00262,0,0.324,0.362,144.971,197793
Middle,DJ Snake,8,Middle,2015-10-16,Electropop Hits  2017-2020,pop,electropop,0.564,0.737,9,-4.079,1,0.0414,0.0175,0,0.054,0.211,104.764,220573
Melody - ANGEMI Remix,Lost Frequencies,35,"Melody (Remixes, Pt. 1)",2018-06-15,Pop Warmup 130 BPM,pop,dance pop,0.564,0.833,0,-3.964,1,0.0952,0.0112,0,0.101,0.395,127.948,209341
Deliverance,CHVRCHES,36,Love Is Dead,2018-05-25,Electro Pop | Electropop,pop,electropop,0.564,0.78,1,-5.25,1,0.0281,0.00128,0.00162,0.113,0.197,105.969,252838
Metropolis - 2009 Remastered Version,Kraftwerk,36,The Man Machine (2009 Remastered Version),1978,Electropop And Play,pop,electropop,0.564,0.795,5,-9.391,0,0.0311,0.00118,0.781,0.137,0.49,122.719,361107
Waves,Luna Shadows,45,Waves,2019-07-29,The Sound of Indie Poptimism,pop,indie poptimism,0.564,0.826,8,-5.534,0,0.0707,0.176,4.21E-06,0.169,0.417,121.984,218361
Another One,Kim Petras,47,Clarity,2019-06-28,a taste of the mainstream,pop,post-teen pop,0.564,0.435,9,-6.435,0,0.0294,0.449,3.41E-06,0.103,0.316,80.018,225245
No me importa nada,Luz Casal,56,Luz V,1989-03-01,ELECTROPOP EN ESPAOL,pop,electropop,0.564,0.804,4,-4.848,1,0.0394,0.447,0.000314,0.218,0.681,169.557,247680
So Predictable,Set It Off,57,After Midnight (Part 2),2020-01-03,The Pulse of Indie Poptimism,pop,indie poptimism,0.564,0.867,5,-3.238,0,0.0541,0.11,0,0.155,0.505,150.004,181332
Dancing On Glass,St. Lucia,58,Matter,2016-01-29,The Sound of Indie Poptimism,pop,indie poptimism,0.564,0.945,1,-4.705,1,0.0493,0.0189,0,0.359,0.399,101.003,246333
Run Away With Me,Carly Rae Jepsen,62,Emotion,2015-08-21,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,pop,indie poptimism,0.564,0.719,1,-5.505,1,0.0475,0.0126,0.000177,0.0536,0.251,119.023,251320
Diamonds,Rihanna,66,Unapologetic (Edited Version),2012-01-01,Post-teen pop,pop,post-teen pop,0.564,0.71,11,-4.92,0,0.0461,0.00125,0,0.109,0.393,91.972,225147
Easier - Seeb Remix,5 Seconds of Summer,71,Easier (Seeb Remix),2019-07-12,Dance Pop,pop,dance pop,0.564,0.747,5,-3.374,1,0.0584,0.0728,0,0.151,0.717,97.878,165767
Diamonds,Rihanna,74,Unapologetic (Deluxe),2012-12-11,Electropop - Pop,pop,electropop,0.564,0.71,11,-4.92,0,0.0461,0.00125,0,0.109,0.393,91.972,225147
Immigrant Song - Remaster,Led Zeppelin,77,Led Zeppelin III (Remastered),1970,Dr. Q's Prescription Playlist,pop,post-teen pop,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250
Fight Song,Rachel Platten,79,Wildfire,2016-01-01,post teen pop,pop,post-teen pop,0.564,0.714,7,-4.987,1,0.129,0.0549,0,0.155,0.33,175.924,204013
Magic,Vacation Manor,0,"Girl, Say",2016-04-23,Indie Poptimism,pop,indie poptimism,0.565,0.772,7,-5.626,1,0.0312,0.111,0.000101,0.155,0.509,126.993,279560
Malibu,Miley Cyrus,21,Malibu,2017-05-11,Pop Inglİs (2020 - 2010s) Mşsica En Inglİs 2010s,pop,dance pop,0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16E-05,0.0757,0.4,140.004,231906
Malibu,Miley Cyrus,21,Malibu,2017-05-11,Post pop teen,pop,post-teen pop,0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16E-05,0.0757,0.4,140.004,231906
Pressure (Alesso Remix) [feat. Nadia Ali],Alex Kenji,33,Dance Mix USA in the Club Vol. 2 (Mixed by DJ Riddler) [Continuous DJ Mix],2012-03-26,Mix ElectroPop//ElectroHouse// DeepHouse 2020,pop,electropop,0.565,0.879,8,-4.908,1,0.0327,0.000168,0.634,0.0616,0.198,128.011,299173
It's OK To Be Black,Jac Ross,43,It's OK To Be Black,2020-01-10,The Edge of Indie Poptimism,pop,indie poptimism,0.565,0.786,2,-3.485,0,0.252,0.26,4.16E-06,0.366,0.516,160.02,161200
"It's Party Time (From ""Hotel Transylvania 3"")",Joe Jonas,44,"It's Party Time (From ""Hotel Transylvania 3"")",2018-07-06,The Sound of Post-Teen Pop,pop,post-teen pop,0.565,0.748,8,-5.78,1,0.0576,0.425,0,0.34,0.653,75.972,149158
Criminals,Xuitcasecity,45,Criminals,2017-04-14,ElectroPop,pop,electropop,0.565,0.766,7,-5.272,0,0.0443,0.0534,0,0.123,0.325,142.002,184563
Only You,Hogland,54,Only You,2019-11-15,Pop / Dance,pop,dance pop,0.565,0.732,8,-4.354,1,0.0716,0.193,0,0.0948,0.265,114.901,182609
Heaven (featuring Do),DJ Sammy,64,Heaven,2002-08-06,90s Dance Hits,pop,dance pop,0.565,0.942,8,-6.821,1,0.0518,0.00107,0.000393,0.152,0.569,137.972,235000
Hymn for the Weekend - Seeb Remix,Coldplay,71,Hymn for the Weekend (Seeb Remix),2016-03-25,ELECTROPOP,pop,electropop,0.565,0.849,0,-3.516,0,0.0517,0.00868,4.68E-06,0.12,0.427,102.034,212647
Hymn for the Weekend - Seeb Remix,Coldplay,71,Hymn for the Weekend (Seeb Remix),2016-03-25,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,pop,indie poptimism,0.565,0.849,0,-3.516,0,0.0517,0.00868,4.68E-06,0.12,0.427,102.034,212647
Answer,ATEEZ,72,TREASURE EPILOGUE : Action To Answer,2020-01-06,K-Party Dance Mix,pop,dance pop,0.565,0.903,7,-1.918,1,0.05,0.0746,0,0.359,0.538,97.967,219760
"Sincron­a, Pegaso",Javiera Mena,0,Otra Era,2014-10-28,This Is: Javiera Mena,pop,electropop,0.566,0.891,1,-5.877,0,0.033,0.00329,0.0102,0.0926,0.367,109.017,285512
Never Wanted to Dance,Mindless Self Indulgence,0,If,2008-04-29,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,pop,electropop,0.566,0.744,2,-4.006,1,0.22,0.0053,3.14E-05,0.247,0.712,91.514,188960
Take Me to Church,Hozier,24,Hozier,2014-10-07,Post pop teen,pop,post-teen pop,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,241693
Strangers In The Wind,Cut Copy,32,In Ghost Colours (Deluxe),2008-01-01,GTA V - Radio Mirror Park,pop,electropop,0.566,0.825,4,-3.947,0,0.0383,0.0488,2.9E-05,0.244,0.475,119.955,283800
The Only One,Culture Kultur,33,Reborn,2006-01-01,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,pop,electropop,0.566,0.796,8,-9.035,1,0.0369,0.00387,0.667,0.114,0.51,133.007,413547
Blackbeak,Youngblood Hawke,40,Wake Up,2013-01-01,Indie Poptimism,pop,indie poptimism,0.566,0.763,7,-6.146,0,0.0296,0.00119,0,0.324,0.577,134.973,239160
My Corduroy Hat,Neighbor Susan,41,My Corduroy Hat,2019-12-25,The Edge of Indie Poptimism,pop,indie poptimism,0.566,0.675,9,-8.063,1,0.0305,0.000603,0.0134,0.0757,0.385,139.981,264009
Cortex,Aunty Social,43,Cortex,2020-01-10,The Edge of Indie Poptimism,pop,indie poptimism,0.566,0.737,0,-6.86,1,0.0339,0.157,0.762,0.208,0.138,120.039,229547
Awake,Electric Guest,44,Mondo,2012-04-23,Indie/Jazz Poptimism,pop,indie poptimism,0.566,0.593,11,-7.348,1,0.0349,0.0206,0.0654,0.121,0.806,111.001,300867
Beautiful,Viigo,44,Beautiful,2016-03-11,Indie Poptimism!,pop,indie poptimism,0.566,0.628,0,-11.216,1,0.0716,0.153,0.12,0.0558,0.554,176.126,186435
Pretty Pimpin,Kurt Vile,66,b'lieve i'm goin down...,2015-09-25,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.566,0.664,8,-9.081,1,0.0281,0.0928,0.305,0.0903,0.764,91.117,298760
Take a Walk,Passion Pit,68,Gossamer,2012-07-20,Indie Poptimism,pop,indie poptimism,0.566,0.755,11,-5.526,1,0.0368,0.0338,0,0.315,0.445,101.006,264493
Frail State Of Mind,The 1975,69,Frail State Of Mind,2019-10-24,"Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)",pop,indie poptimism,0.566,0.676,9,-6.498,1,0.0383,0.0147,0.00672,0.0733,0.0492,127.973,234812
POP/STARS,K/DA,75,POP/STARS,2018-11-03,K-Party Dance Mix,pop,dance pop,0.566,0.769,7,-4.342,1,0.0872,0.0183,0,0.108,0.385,170.036,191100
POP/STARS,K/DA,75,POP/STARS,2018-11-03,Post Teen Pop,pop,post-teen pop,0.566,0.769,7,-4.342,1,0.0872,0.0183,0,0.108,0.385,170.036,191100
Take Me To Church,Hozier,80,Hozier,2014-07-20,Post pop teen,pop,post-teen pop,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,241688
War On Error - Declaration,Rotersand,0,War On Error,2009-08-28,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,pop,electropop,0.567,0.908,9,-4.832,1,0.0875,0.00122,0.00592,0.553,0.334,124.056,274920
Skyline,K-391,0,Skyline & Backyard Happiness,2015-03-18,Chillout & Remixes ,pop,indie poptimism,0.567,0.493,6,-18.127,0,0.036,0.659,0.445,0.108,0.589,169.99,231562
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,Lana Del Rey,11,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),2013-02-01,Electropop Hits  2017-2020,pop,electropop,0.567,0.813,1,-5.744,0,0.0581,0.0138,9.03E-06,0.125,0.114,126.044,214912
Daphne Blue,The Band CAMINO,13,Daphne Blue / See Through,2019-05-14,"Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)",pop,indie poptimism,0.567,0.925,1,-2.775,0,0.0906,0.00239,0.0054,0.348,0.704,118.006,182840
I donât wanna do,SARM,27,I donât wanna do,2020-01-12,Dance Pop: Japan,pop,dance pop,0.567,0.865,6,-5.125,1,0.139,0.0127,0,0.0546,0.838,187.981,244061
Ready For You,Hunter Hunted,34,Ready For You,2015-07-10,Indie Poptimism,pop,indie poptimism,0.567,0.83,0,-5.655,1,0.0281,9.6E-05,0.248,0.394,0.158,93.996,205587
Kleid Aus Rosen,Subway To Sally,41,Herzblut,2001,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,pop,electropop,0.567,0.877,8,-6.484,1,0.0685,0.0194,2.83E-06,0.281,0.265,86.097,297600
Love Is Mystical,Cold War Kids,61,LA DIVINE,2017-04-07,Indie Poptimism,pop,indie poptimism,0.567,0.863,7,-5.158,0,0.037,0.00462,4.77E-05,0.207,0.722,106.03,214360
Solid Gold,PNAU,65,Solid Gold,2019-05-02,Dance Room,pop,dance pop,0.567,0.946,5,-2.245,0,0.0541,0.0978,1.37E-06,0.0836,0.295,104.983,208367
All Day And Night,Jax Jones,75,Snacks,2019-07-12,Dance Pop Hits,pop,dance pop,0.567,0.765,1,-4.107,0,0.108,0.317,0,0.14,0.541,121.924,169467
All Day And Night,Jax Jones,75,Snacks,2019-07-12,"post-teen alternative, indie, pop (large variety)",pop,post-teen pop,0.567,0.765,1,-4.107,0,0.108,0.317,0,0.14,0.541,121.924,169467
Ivy,Frank Ocean,77,Blonde,2016-08-20,indie poptimism,pop,indie poptimism,0.567,0.388,9,-9.579,0,0.0384,0.782,0.000309,0.248,0.452,116.362,249191
Something New,Axwell /\ Ingrosso,4,Something New,2015-01-20,Dance Pop,pop,dance pop,0.568,0.86,11,-3.846,1,0.0342,0.0189,0.000484,0.119,0.394,129.924,247160
Tainted Love,Soft Cell,12,Tainted Love / Where Did Our Love Go,2009-01-01,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,pop,electropop,0.568,0.493,0,-9.112,0,0.0381,0.106,0,0.757,0.616,143.223,156317
Mercy,Shawn Mendes,18,Illuminate (Deluxe),2016-09-23,Post Teen Pop,pop,post-teen pop,0.568,0.686,11,-4.901,0,0.0903,0.133,0,0.11,0.4,148.294,208733
Happy You Came Around,Amber Ryann,29,A Call To A Friend,2020-01-10,TUNES DANCE AND POP,pop,dance pop,0.568,0.565,6,-8.275,0,0.292,0.154,0,0.726,0.642,75.038,205659
I Refuse,Matt Strike,32,I Refuse,2019-01-18,Pop Dance Hits,pop,dance pop,0.568,0.651,9,-6.255,0,0.0925,0.205,1.01E-06,0.0444,0.175,82.318,200727
Somebody,Escape With Romeo,32,Escape With Romeo,1989-06-02,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",pop,electropop,0.568,0.792,7,-10.765,1,0.0339,0.0359,0.203,0.376,0.548,117.76,331267
